"Teachers' salaries"
"Upper secondary, top of scale, US dollars, &nbsp;"
"Category","Teachers' salaries"
"Luxembourg",137610.01
"Switzerland",117579.54
"Germany",106034.64
"Netherlands",94660.132
"Korea",93430.971
"Austria",91296.327
"Portugal",74902.384
"United States",74344.224
"Ireland",72414.811
"Canada",71663.569
"Spain",68405.255
"Australia",67093.968
"Mexico",64490.797
"Denmark",64258.975
"Japan",62851.851
"Norway",62276.502
"France",59340.2
"Sweden",59052.695
"Israel",56021.227
"Slovenia",55032.275
"Finland",54585.881
"Italy",54270.541
"New Zealand",53246.838
"Chile",48350.666
"Iceland",44857.247
"Greece",40719.684
"Lithuania",38342.864
"Türkiye",33583.504
"Czechia",33428.678
"Poland",32070.688
"Hungary",31246.56
"Slovak Rep.",21583.402
